0,0.3350,b'2017-05-14'
1,0.2529,b'2017-10-31'
2,0.5513,b'2017-08-12'
3,0.7582,b'2017-06-16'
4,0.9664,b'2017-04-11'
5,0.1229,b'2017-08-21'
6,0.1506,b'2017-11-05'
7,0.5070,b'2017-10-06'
8,0.5748,b'2017-02-24'
9,0.9018,b'2017-08-23'
10,0.4936,b'2017-08-29'
11,0.1598,b'2017-04-13'
12,0.6046,b'2017-05-23'
13,0.7974,b'2017-08-24'
14,0.9622,b'2017-07-12'
15,0.1967,b'2017-12-03'
16,0.7575,b'2017-06-20'
17,0.7336,b'2017-10-25'
18,0.3628,b'2017-10-10'
19,0.0582,b'2017-03-10'
20,0.0271,b'2017-10-08'
21,0.9949,b'2017-06-18'
22,0.1966,b'2017-04-04'
23,0.9933,b'2017-03-22'
24,0.9668,b'2017-01-10'
25,0.0410,b'2017-09-22'
26,0.6241,b'2017-07-08'
27,0.6468,b'2017-09-20'
28,0.5378,b'2017-03-28'
29,0.8887,b'2017-01-10'
30,0.6073,b'2017-02-07'
31,0.9893,b'2017-06-07'
32,0.2432,b'2017-04-24'
33,0.1187,b'2017-11-01'
34,0.2344,b'2017-07-11'
35,0.1884,b'2017-05-04'
36,0.7467,b'2017-01-01'
37,0.2765,b'2017-06-14'
38,0.8817,b'2017-03-13'
39,0.2608,b'2017-07-08'
40,0.1319,b'2017-04-13'
41,0.8254,b'2017-01-20'
42,0.1427,b'2017-05-08'
43,0.1836,b'2017-04-22'
44,0.3712,b'2017-07-08'
45,0.8351,b'2017-07-28'
46,0.9871,b'2017-03-28'
47,0.7385,b'2017-08-27'
48,0.9461,b'2017-08-20'
49,0.4097,b'2017-06-09'
50,0.9582,b'2017-05-30'
51,0.5246,b'2017-08-11'
52,0.7897,b'2017-07-02'
53,0.2624,b'2017-05-22'
54,0.0564,b'2017-09-25'
55,0.1151,b'2017-07-26'
56,0.3770,b'2017-11-08'
57,0.9284,b'2017-12-16'
58,0.5505,b'2017-08-11'
59,0.3408,b'2017-03-22'
60,0.8925,b'2017-01-15'
61,0.3249,b'2017-02-12'
62,0.0099,b'2017-10-08'
63,0.5255,b'2017-05-06'
64,0.0759,b'2017-06-08'
65,0.1793,b'2017-10-26'
66,0.0976,b'2017-07-11'
67,0.6871,b'2017-07-08'
68,0.4746,b'2017-10-30'
69,0.4812,b'2017-08-09'
70,0.7159,b'2017-04-04'
71,0.6322,b'2017-02-21'
72,0.7529,b'2017-09-15'
73,0.5293,b'2017-07-01'
74,0.2429,b'2017-07-07'
75,0.0149,b'2017-06-05'
76,0.1342,b'2017-04-03'
77,0.7202,b'2017-05-02'
78,0.2299,b'2017-04-10'
79,0.4803,b'2017-03-19'
80,0.1259,b'2017-11-26'
81,0.8809,b'2017-12-18'
82,0.4599,b'2017-02-26'
83,0.0372,b'2017-11-05'
84,0.0693,b'2017-02-24'
85,0.0454,b'2017-03-08'
86,0.7546,b'2017-01-23'
87,0.7573,b'2017-03-01'
88,0.6040,b'2017-08-30'
89,0.9266,b'2017-08-09'
90,0.0830,b'2017-08-13'
91,0.5139,b'2017-11-14'
92,0.5793,b'2017-09-17'
93,0.8507,b'2017-02-07'
94,0.2290,b'2017-07-06'
95,0.5266,b'2017-10-05'
96,0.9362,b'2017-10-31'
97,0.5829,b'2017-03-27'
98,0.9623,b'2017-03-05'
99,0.0595,b'2017-09-01'
100,0.2400,b'2017-11-25'
101,0.6040,b'2017-01-13'
102,0.4523,b'2017-02-09'
103,0.7903,b'2017-03-27'
104,0.7038,b'2017-04-10'
105,0.1628,b'2017-01-09'
106,0.8528,b'2017-08-13'
107,0.4264,b'2017-10-27'
108,0.5670,b'2017-09-26'
109,0.5642,b'2017-07-12'
110,0.9665,b'2017-04-02'
111,0.2041,b'2017-11-02'
112,0.3070,b'2017-12-06'
113,0.6143,b'2017-01-12'
114,0.6060,b'2017-12-17'
115,0.2485,b'2017-09-23'
116,0.7156,b'2017-06-08'
117,0.6132,b'2017-04-08'
118,0.0902,b'2017-12-19'
119,0.5752,b'2017-11-23'
120,0.1257,b'2017-06-08'
121,0.3190,b'2017-10-24'
122,0.7721,b'2017-01-17'
123,0.4940,b'2017-06-30'
124,0.8978,b'2017-09-23'
125,0.0612,b'2017-01-12'
126,0.2015,b'2017-10-13'
127,0.4045,b'2017-10-22'
128,0.0638,b'2017-01-02'
129,0.7390,b'2017-02-23'
130,0.6787,b'2017-07-22'
131,0.8867,b'2017-07-06'
132,0.8083,b'2017-01-07'
133,0.6002,b'2017-08-30'
134,0.7252,b'2017-12-14'
135,0.2454,b'2017-01-21'
136,0.8475,b'2017-12-04'
137,0.4111,b'2017-04-17'
138,0.7220,b'2017-07-08'
139,0.3921,b'2017-07-02'
140,0.6896,b'2017-01-26'
141,0.5195,b'2017-03-21'
142,0.4947,b'2017-06-30'
143,0.0797,b'2017-09-25'
144,0.7568,b'2017-10-06'
145,0.4667,b'2017-07-09'
146,0.6891,b'2017-06-19'
147,0.8288,b'2017-07-22'
148,0.0748,b'2017-06-21'
149,0.8235,b'2017-03-02'
150,0.0659,b'2017-06-29'
151,0.3200,b'2017-08-06'
152,0.0957,b'2017-02-27'
153,0.0393,b'2017-07-01'
154,0.7161,b'2017-01-23'
155,0.3006,b'2017-08-01'
156,0.0838,b'2017-09-03'
157,0.5056,b'2017-12-31'
158,0.4326,b'2017-11-12'
159,0.7574,b'2017-02-10'
160,0.8880,b'2017-06-14'
161,0.5691,b'2017-05-30'
162,0.5429,b'2017-12-30'
163,0.8214,b'2017-12-04'
164,0.4093,b'2017-08-27'
165,0.4400,b'2017-08-19'
166,0.5689,b'2017-01-15'
167,0.6870,b'2017-05-20'
168,0.0915,b'2017-08-02'
169,0.8468,b'2017-01-22'
170,0.1647,b'2017-02-10'
171,0.3074,b'2017-09-24'
172,0.7685,b'2017-02-25'
173,0.5268,b'2017-05-29'
174,0.0915,b'2017-03-03'
175,0.3393,b'2017-04-22'
176,0.4992,b'2017-03-17'
177,0.7344,b'2017-04-06'
178,0.4284,b'2017-05-22'
179,0.5693,b'2017-08-18'
180,0.1326,b'2017-04-07'
181,0.5517,b'2017-04-26'
182,0.4465,b'2017-02-20'
183,0.1775,b'2017-02-26'
184,0.6168,b'2017-03-13'
185,0.8943,b'2017-03-01'
186,0.2266,b'2017-10-19'
187,0.1217,b'2017-10-04'
188,0.9416,b'2017-09-07'
189,0.2380,b'2017-09-22'
190,0.0736,b'2017-03-15'
191,0.7254,b'2017-05-04'
192,0.4810,b'2017-12-03'
193,0.2993,b'2017-10-02'
194,0.5519,b'2017-09-06'
195,0.7747,b'2017-10-15'
196,0.7949,b'2017-12-12'
197,0.9017,b'2017-10-12'
198,0.9795,b'2017-12-17'
199,0.0965,b'2017-02-16'
200,0.7364,b'2017-12-16'
201,0.4760,b'2017-01-08'
202,0.1302,b'2017-11-04'
203,0.1649,b'2017-11-24'
204,0.7708,b'2017-01-24'
205,0.6363,b'2017-12-04'
206,0.0585,b'2017-02-15'
207,0.0072,b'2017-12-20'
208,0.5472,b'2017-06-20'
209,0.7897,b'2017-01-12'
210,0.5110,b'2017-09-20'
211,0.3808,b'2017-11-12'
212,0.1902,b'2017-07-20'
213,0.8914,b'2017-07-07'
214,0.6960,b'2017-06-25'
215,0.1202,b'2017-05-05'
216,0.2199,b'2017-03-03'
217,0.9755,b'2017-04-18'
218,0.1107,b'2017-03-28'
219,0.3505,b'2017-01-17'
220,0.3375,b'2017-02-02'
221,0.7651,b'2017-01-19'
222,0.3225,b'2017-12-29'
223,0.9427,b'2017-04-20'
224,0.6213,b'2017-10-02'
225,0.4639,b'2017-12-17'
226,0.3124,b'2017-07-04'
227,0.9780,b'2017-03-21'
228,0.9536,b'2017-09-04'
229,0.6663,b'2017-04-13'
230,0.7948,b'2017-10-29'
231,0.8906,b'2017-09-01'
232,0.9154,b'2017-12-27'
233,0.9431,b'2017-08-06'
234,0.3820,b'2017-07-25'
235,0.4421,b'2017-05-20'
236,0.0241,b'2017-10-10'
237,0.8107,b'2017-05-30'
238,0.8948,b'2017-11-11'
239,0.6156,b'2017-03-01'
240,0.7763,b'2017-02-26'
241,0.5770,b'2017-03-03'
242,0.5889,b'2017-10-16'
243,0.8079,b'2017-12-01'
244,0.0417,b'2017-11-17'
245,0.0439,b'2017-10-18'
246,0.5414,b'2017-06-18'
247,0.3256,b'2017-10-06'
248,0.0961,b'2017-12-24'
249,0.0315,b'2017-11-24'
250,0.6504,b'2017-02-14'
251,0.8570,b'2017-08-21'
252,0.0121,b'2017-05-14'
253,0.9227,b'2017-07-26'
254,0.4753,b'2017-01-31'
255,0.3932,b'2017-12-04'
256,0.1323,b'2017-08-26'
257,0.7555,b'2017-08-15'
258,0.3139,b'2017-10-25'
259,0.5949,b'2017-05-06'
260,0.5562,b'2017-05-05'
261,0.5549,b'2017-07-02'
262,0.1509,b'2017-06-23'
263,0.2088,b'2017-03-19'
264,0.2161,b'2017-01-15'
265,0.2522,b'2017-09-18'
266,0.9583,b'2017-07-20'
267,0.3249,b'2017-06-24'
268,0.0551,b'2017-07-22'
269,0.4244,b'2017-02-22'
270,0.9317,b'2017-07-21'
271,0.8686,b'2017-12-18'
272,0.0432,b'2017-08-16'
273,0.8725,b'2017-09-14'
274,0.9797,b'2017-09-05'
275,0.8743,b'2017-04-15'
276,0.8012,b'2017-09-14'
277,0.5936,b'2017-08-19'
278,0.0586,b'2017-06-27'
279,0.3955,b'2017-07-26'
280,0.1145,b'2017-06-08'
281,0.0198,b'2017-08-23'
282,0.0551,b'2017-04-11'
283,0.1014,b'2017-05-16'
284,0.0490,b'2017-08-21'
285,0.1023,b'2017-03-24'
286,0.9645,b'2017-03-28'
287,0.8316,b'2017-06-24'
288,0.8498,b'2017-09-01'
289,0.0194,b'2017-04-25'
290,0.0425,b'2017-11-29'
291,0.5716,b'2017-06-13'
292,0.8448,b'2017-10-05'
293,0.3263,b'2017-04-18'
294,0.7146,b'2017-01-09'
295,0.5359,b'2017-01-24'
296,0.2696,b'2017-04-07'
297,0.3209,b'2017-02-17'
298,0.7104,b'2017-03-23'
299,0.8335,b'2017-01-11'
300,0.4115,b'2017-07-14'
301,0.6387,b'2017-11-29'
302,0.7651,b'2017-06-14'
303,0.8513,b'2017-10-14'
304,0.6569,b'2017-05-10'
305,0.2556,b'2017-04-08'
306,0.2333,b'2017-12-21'
307,0.5847,b'2017-12-01'
308,0.9383,b'2017-08-28'
309,0.6532,b'2017-08-26'
